,fold,num violations,mse train corrected,mse test corrected,mse train,mse test,violations train,violations test,runtime
0,1,28265,39.320114,39.861214,15.161626,16.969679,0,0,47613.581154584885
1,2,28191,37.58353,40.620228,15.616351,16.633205,0,0,109814.56061983109
2,3,28300,37.17486,42.33044,15.6655245,16.227688,0,0,124746.62495994568
3,4,28237,40.056156,40.899807,16.327045,15.286039,0,0,43960.07935118675
4,5,28275,40.651184,30.984295,15.89694,13.681892,0,0,41097.98023843765
